StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,DistributionChannel,UserLanguage,Consent_1,Consent_2,Consent_3,Consent_4,Consent_5,Consent_6,Consent_7,NoDI1_Comp,NoDI1_TryAgain,NoDI1_Take,NoDI1_Nothing,NoDI2_Comp,NoDI2_TryAgain,NoDI2_Take,NoDI2_Nothing,NoDI3_Comp,NoDI3_TryAgain,NoDI3_Take,NoDI3_Nothing,NODI4_Comp,NODI4_TryAgain,NoDI4_Take,NoDI4_NoTake,DI_Comp,DI_TryAgain,DI_Take,DI_Nothing,3PP_Comp,3PP_TryAgain,3PP_Take,3PP_Nothing,DaysWeek,DaysWeek_TryAgain,P2_Decision,Explain,SelfRate_1,SelfRate_2,SelfRate_3,SelfRate_4,SelfRate_5,SelfRate_6,SelfRate_7,SelfRate_8,SelfRate_9,SelfRate_10,SelfRate_11,skepticism,skepticism_3_TEXT,experience,experience_4_TEXT,feedback,counter
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Recipient Last Name,Distribution Channel,User Language,I have read the information above and I consent to take part in this study.,I understand that anonymous data that cannot be traced back to me individually may be used in academic publications and shared in accordance with open science guidelines and I consent to this.,I understand that I can withdraw from the study at any time by closing my browser window but that I will not be paid for my time if I do this.,I understand that once my data have been submitted it may be impossible for me to withdraw from the study.,I understand that there are 2 parts to this study and that my participation is required for Part 2. I consent to Social Evolution & Behaviour lab contacting me using my Prolific ID so that I can complete Part 2 of this study.,I am aged 18 or over.,I understand that if I fail an attention check or do not submit a completion code my submission will be rejected.,"Game [Field-counter] of 7





Before you decide how to respond to Player 2's behaviour, we would like to check that you have understood the game.

 

In Stage 1, you have £0.70 and Player 2 has £0.10.

 

In Stage 2, imagine that Player 2 takes £0.20 from you.

You would then have £0.50 and Player 2 would have £0.30.

 

In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?","You answered that question incorrectly. Please try again.

 

 

In Stage 1, you have £0.70 and Player 2 has £0.10.



In Stage 2, imagine that Player 2 takes £0.20 from you.

You would then have £0.50 and Player 2 would have £0.30.



In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?","Game [Field-counter] of 7





Imagine that Player 2 TAKES £0.20 of your bonus in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?","Game [Field-counter] of 7





Imagine that Player 2 DOES NOTHING in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?","Game [Field-counter] of 7



Before you decide how to respond to Player 2's behaviour, we would like to check that you have understood the game.

 

In Stage 1, you have £0.70 and Player 2 has £0.30.

 

In Stage 2, imagine that Player 2 takes £0.20 from you.

You would then have £0.50 and Player 2 would have £0.50.

 

In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?","You answered that question incorrectly. Please try again.

 

 

In Stage 1, you have £0.70 and Player 2 has £0.30.



In Stage 2, imagine that Player 2 takes £0.20 from you. 
You would then have £0.50 and Player 2 would have £0.50.



In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?","Game [Field-counter] of 7



Imagine that Player 2 TAKES £0.20 of your bonus in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?","Game [Field-counter] of 7



Imagine that Player 2 DOES NOTHING in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?","Game [Field-counter] of 7



Before you decide how to respond to the computer's decision, we would like to check that you have understood the game.

 

In Stage 1, you have £0.70 and Player 2 has £0.30.

 

In Stage 2, imagine that the computer takes £0.20 from you and gives it to Player 2.

You would then have £0.50 and Player 2 would have £0.50.

 

In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?","You answered that question incorrectly. Please try again.

 

 

In Stage 1, you have £0.70 and Player 2 has £0.30.



In Stage 2, imagine that the computer takes £0.20 from you and gives it to Player 2.

You would then have £0.50 and Player 2 would have £0.50.



In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?","Game [Field-counter] of 7



Imagine that the computer TAKES £0.20 of your bonus in Stage 2 and gives it to Player 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?","Game [Field-counter] of 7



Imagine that the computer DOES NOTHING in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?","Game [Field-counter] of 7



Before you decide how to respond to Player 2's behaviour, we would like to check that you have understood the game.

 

In Stage 1, you have £0.70 and Player 2 has £0.30.

 

In Stage 2, imagine that Player 2 takes £0.20 from you.

You would then have £0.50 and Player 2 would have £0.50.

 

In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.10, what would the final bonuses for each player be?","You answered that question incorrectly. Please try again.

 

 

In Stage 1, you have £0.70 and Player 2 has £0.30.



In Stage 2, imagine that Player 2 takes £0.20 from you. 
You would then have £0.50 and Player 2 would have £0.50.



In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.10, what would the final bonuses for each player be?","Game [Field-counter] of 7



Imagine that Player 2 TAKES £0.20 of your bonus in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.10?","Game [Field-counter] of 7



Imagine that Player 2 DOES NOTHING in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.10?","Game [Field-counter] of 7



Before you decide how to respond to Player 2's behaviour, we would like to check that you have understood the game.

 

In Stage 1, you have £0.70 and Player 2 has £0.50.

 

In Stage 2, imagine that Player 2 takes £0.20 from you.

You would then have £0.50 and Player 2 would have £0.70.

 

In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?","You answered that question incorrectly. Please try again.

 

 

In Stage 1, you have £0.70 and Player 2 has £0.50.



In Stage 2, imagine that Player 2 takes £0.20 from you.

You would then have £0.50 and Player 2 would have £0.70.



In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?","Game [Field-counter] of 7



Imagine that Player 2 TAKES £0.20 of your bonus in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?","Game [Field-counter] of 7



Imagine that Player 2 DOES NOTHING in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?","Game [Field-counter] of 7





Before you decide how to respond to Player 2's behaviour, we would like to check that you have understood the game.

 

In Stage 1, you have £1.00, Player 1 has £0.70 and Player 2 has £0.70.

 

In Stage 2, imagine that Player 2 takes £0.20 from Player 1.

Player 1 would then have £0.50 and Player 2 would have £0.90.

You would still have £1.00.

 

In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?","You answered that question incorrectly. Please try again.

 

 

In Stage 1, you have £1.00, Player 1 has £0.70 and and Player 2 has £0.70.



In Stage 2, imagine that Player 2 takes £0.20 from Player 1. 
Player 1 would then have £0.50 and Player 2 would have £0.90. 
You would still have £1.00.



In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?","Game [Field-counter] of 7





Imagine that Player 2 TAKES £0.20 of Player 1's bonus in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?","Game [Field-counter] of 7





Imagine that Player 2 DOES NOTHING in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?",How many days are there in a week?,"You answered the attention check question incorrectly. If you answer incorrectly again, you will be able to proceed in the task but your submission will be rejected.

 

How many days are there in a week?","Game 7 of 7





Player 1 has £0.70. You have £0.30.

 

Do you want to take £0.20 of Player 1's bonus?","In your own words, please explain: what was your main motivation for making the decisions you did in the games?","We would now like you to answer a few questions about your main motivation in the games.

 

Please answer truthfully - there is no right or wrong answer and your first answer is probably best.

 

Please rate the extent to which the following statements apply to your decisions to reduce or not to reduce other players' bonuses in the games: - I wanted to punish people who harmed others","We would now like you to answer a few questions about your main motivation in the games.

 

Please answer truthfully - there is no right or wrong answer and your first answer is probably best.

 

Please rate the extent to which the following statements apply to your decisions to reduce or not to reduce other players' bonuses in the games: - I wanted to have a higher final bonus than others","We would now like you to answer a few questions about your main motivation in the games.

 

Please answer truthfully - there is no right or wrong answer and your first answer is probably best.

 

Please rate the extent to which the following statements apply to your decisions to reduce or not to reduce other players' bonuses in the games: - I wanted to avoid having a lower final bonus than others","We would now like you to answer a few questions about your main motivation in the games.

 

Please answer truthfully - there is no right or wrong answer and your first answer is probably best.

 

Please rate the extent to which the following statements apply to your decisions to reduce or not to reduce other players' bonuses in the games: - I wanted all players to have the same final bonus","We would now like you to answer a few questions about your main motivation in the games.

 

Please answer truthfully - there is no right or wrong answer and your first answer is probably best.

 

Please rate the extent to which the following statements apply to your decisions to reduce or not to reduce other players' bonuses in the games: - I wanted to stop others from cheating","We would now like you to answer a few questions about your main motivation in the games.

 

Please answer truthfully - there is no right or wrong answer and your first answer is probably best.

 

Please rate the extent to which the following statements apply to your decisions to reduce or not to reduce other players' bonuses in the games: - I wanted to show that I disapproved of others' actions","We would now like you to answer a few questions about your main motivation in the games.

 

Please answer truthfully - there is no right or wrong answer and your first answer is probably best.

 

Please rate the extent to which the following statements apply to your decisions to reduce or not to reduce other players' bonuses in the games: - I made decisions at random","We would now like you to answer a few questions about your main motivation in the games.

 

Please answer truthfully - there is no right or wrong answer and your first answer is probably best.

 

Please rate the extent to which the following statements apply to your decisions to reduce or not to reduce other players' bonuses in the games: - I wanted to punish people who DID NOT harm me or others","We would now like you to answer a few questions about your main motivation in the games.

 

Please answer truthfully - there is no right or wrong answer and your first answer is probably best.

 

Please rate the extent to which the following statements apply to your decisions to reduce or not to reduce other players' bonuses in the games: - I didn't want to reduce anyone's bonus, no matter what they did","We would now like you to answer a few questions about your main motivation in the games.

 

Please answer truthfully - there is no right or wrong answer and your first answer is probably best.

 

Please rate the extent to which the following statements apply to your decisions to reduce or not to reduce other players' bonuses in the games: - I didn't want to PAY to reduce anyone's bonus but I would have done so if it were free","We would now like you to answer a few questions about your main motivation in the games.

 

Please answer truthfully - there is no right or wrong answer and your first answer is probably best.

 

Please rate the extent to which the following statements apply to your decisions to reduce or not to reduce other players' bonuses in the games: - I wanted to punish people if they harmed me but not if they harmed others",Did you believe that you were interacting with other Prolific participants in these games? (Feel free to use the text box if needed) - Selected Choice,Did you believe that you were interacting with other Prolific participants in these games? (Feel free to use the text box if needed) - No - Text,Have you played games like these on Prolific / Mturk before? (Feel free to use the text box if needed) - Selected Choice,Have you played games like these on Prolific / Mturk before? (Feel free to use the text box if needed) - Never played games like these - Text,"Do you have any other feedback for us about this study? For example, please tell us about any aspects you especially liked or did not like. Thank you!",counter
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27""}","{""ImportId"":""QID75""}","{""ImportId"":""QID80""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID62""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID55_2""}","{""ImportId"":""QID55_3""}","{""ImportId"":""QID55_4""}","{""ImportId"":""QID55_5""}","{""ImportId"":""QID55_6""}","{""ImportId"":""QID55_7""}","{""ImportId"":""QID55_8""}","{""ImportId"":""QID55_9""}","{""ImportId"":""QID55_10""}","{""ImportId"":""QID55_11""}","{""ImportId"":""QID127""}","{""ImportId"":""QID127_3_TEXT""}","{""ImportId"":""QID129""}","{""ImportId"":""QID129_4_TEXT""}","{""ImportId"":""QID130_TEXT""}","{""ImportId"":""counter""}"
1/07/2022 9:23,1/07/2022 9:37,IP Address,100,785,TRUE,1/07/2022 9:37,,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,,No - I do not want to take £0.20 of Player 1's bonus,"As the games relied a lot on chance - how much money each player started with, whether a computer decided to reduce the bonus etc - I decided that not acting to remove other players potential bonus's - even when they 'wronged' me by taking some of mine - was the most ethical thing to do ",1,1,0,0,1,1,1,1,100,0,0,No,,Somewhat like these,,,6
1/07/2022 9:31,1/07/2022 9:43,IP Address,100,744,TRUE,1/07/2022 9:43,,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,,Yes - I want to take £0.20 of Player 1's bonus,just went with the flow and what seemed best on each individual game,1,8,16,13,3,2,20,2,16,16,1,Wasn't sure,,Never played games like these,,,6
