StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PROLIFIC ID,Q1
05/12/2022 12:02,05/12/2022 12:03,IP Address,2.25.244.76,100,37,TRUE,05/12/2022 12:03,R_3kNxs42he0L9rPj,,,,,51.5131,-3.1588,anonymous,EN,5601379877f33b0010cb2b98,High School
05/12/2022 12:17,05/12/2022 12:17,IP Address,82.0.68.104,100,30,TRUE,05/12/2022 12:17,R_22Y1eo72UkFGlCR,,,,,55.9139,-4.3311,anonymous,EN,5697bfa17183b8000d0fbcbf,High School
05/12/2022 16:19,05/12/2022 16:20,IP Address,90.213.153.20,100,43,TRUE,05/12/2022 16:20,R_2aE3eUBf8qtPFMs,,,,,51.2067,-0.5315,anonymous,EN,5717864c94d4fc001297198d,Completed university
05/12/2022 11:51,05/12/2022 11:51,IP Address,86.1.203.183,100,16,TRUE,05/12/2022 11:51,R_susjsQDZRC4M42R,,,,,52.5299,-1.0945,anonymous,EN,57655a2aea19ef00016351cf,Completed university
05/12/2022 15:51,05/12/2022 15:51,IP Address,90.222.68.158,100,32,TRUE,05/12/2022 15:51,R_3oRQBXujiPbE4S7,,,,,53.7287,-2.6559,anonymous,EN,594ea461c6a70f00010aaa8d,Completed university
06/12/2022 14:06,06/12/2022 14:07,IP Address,81.107.159.25,100,24,TRUE,06/12/2022 14:07,R_2rZ00GThDSlTXv8,,,,,55.805,-4.2899,anonymous,EN,59e675a6c0d35a00012951ce,Completed university
05/12/2022 13:26,05/12/2022 13:27,IP Address,86.19.233.162,100,51,TRUE,05/12/2022 13:27,R_324NnbTlGE1oQSE,,,,,53.1149,-2.1808,anonymous,EN,59e9e46a1c947e00012b2621,High School
05/12/2022 12:35,05/12/2022 12:35,IP Address,82.11.114.250,100,21,TRUE,05/12/2022 12:35,R_eu0lqbHuY8TrQxr,,,,,50.8431,-1.064,anonymous,EN,5b97a1e083bd380001b92485,PhD or equivalent
05/12/2022 11:51,05/12/2022 11:52,IP Address,82.42.240.159,100,41,TRUE,05/12/2022 11:52,R_tYUeZhtb8QAtkIN,,,,,55.8026,-4.0804,anonymous,EN,5bf2f728bd9f150001f6cc42,Completed university
05/12/2022 14:23,05/12/2022 14:24,IP Address,51.241.63.106,100,27,TRUE,05/12/2022 14:24,R_1OPMkoqa4TsbkIT,,,,,53.5389,-2.4165,anonymous,EN,5c60501d767686000100150c,High School
05/12/2022 18:35,05/12/2022 18:35,IP Address,144.32.240.156,100,29,TRUE,05/12/2022 18:35,R_3ELsTRjzlQyMZCa,,,,,53.9573,-1.0837,anonymous,EN,5c6fd0be04b76500015f9db9,Diploma / other professional certificate
05/12/2022 12:03,05/12/2022 12:03,IP Address,51.187.33.146,100,15,TRUE,05/12/2022 12:03,R_2af9fWsqOOci09y,,,,,51.6004,-0.1168,anonymous,EN,5ca650fc557aec0012e200d8,PhD or equivalent
05/12/2022 12:24,05/12/2022 12:26,IP Address,92.3.54.167,100,101,TRUE,05/12/2022 12:26,R_3pnk6na4Zk16Uuk,,,,,50.8246,-1.3738,anonymous,EN,5cb4b13a17c7300154f8b60,Masters degree
05/12/2022 12:53,05/12/2022 12:54,IP Address,80.229.149.42,100,55,TRUE,05/12/2022 12:54,R_1OQen84cUwAhzrH,,,,,51.6485,-0.7801,anonymous,EN,5cc53cf3291607001757c712,Masters degree
05/12/2022 11:55,05/12/2022 11:56,IP Address,128.240.225.12,100,33,TRUE,05/12/2022 11:56,R_3nMiRt89mv27YDs,,,,,54.9836,-1.5895,anonymous,EN,5cfadb3e8c897900019bc0d5,PhD or equivalent
05/12/2022 11:54,05/12/2022 11:55,IP Address,145.40.136.61,100,35,TRUE,05/12/2022 11:55,R_1dfYSTlEK8ssQwq,,,,,50.9169,-1.422,anonymous,EN,5d038adefda4bb00013f8afb,Masters degree
05/12/2022 13:34,05/12/2022 13:35,IP Address,2.29.72.203,100,46,TRUE,05/12/2022 13:35,R_2EFfdD8smti8i0P,,,,,53.8686,-1.4439,anonymous,EN,5e42855a6cc37110b1c4371e,Diploma / other professional certificate
05/12/2022 13:27,05/12/2022 13:27,IP Address,90.194.250.82,100,20,TRUE,05/12/2022 13:27,R_1pXOyXdw3BykLfB,,,,,51.3226,-0.197,anonymous,EN,5e736c9f4e8cdf034bdfa5c3,Completed university
05/12/2022 13:53,05/12/2022 13:54,IP Address,86.181.142.101,100,38,TRUE,05/12/2022 13:54,R_2zOxTTJbu37bVtS,,,,,51.5667,-1.1985,anonymous,EN,5e7def6e3a915c48aa9d3209,PhD or equivalent
08/12/2022 16:33,08/12/2022 16:34,IP Address,80.6.126.104,100,40,TRUE,08/12/2022 16:34,R_2diHeaZKStREZdg,,,,,53.278,-2.9349,anonymous,EN,5ea01b4b2d7b4d0243d93f78,High School
05/12/2022 11:48,05/12/2022 11:49,IP Address,2.220.208.117,100,56,TRUE,05/12/2022 11:49,R_2ZTGfXTJuRkRdQt,,,,,53.5495,-2.7659,anonymous,EN,5eac0b9a3617310432c834a1,Diploma / other professional certificate
05/12/2022 11:51,05/12/2022 11:53,IP Address,82.35.179.202,100,73,TRUE,05/12/2022 11:53,R_3NPWY5wPsWKWHBN,,,,,51.1398,-0.1206,anonymous,EN,5ead58cf86ea9b025ef6c153,High School
05/12/2022 12:22,05/12/2022 12:22,IP Address,86.28.80.71,100,31,TRUE,05/12/2022 12:22,R_25KqwLCKDrmMYU0,,,,,55.8649,-4.311,anonymous,EN,5ecb871d027d970009dc05d2,Masters degree
05/12/2022 11:54,05/12/2022 11:55,IP Address,81.141.211.192,100,42,TRUE,05/12/2022 11:55,R_30efsHz2dxHLlsq,,,,,50.1983,-5.3028,anonymous,EN,5ede01a612a7d6000bf2316f,Diploma / other professional certificate
05/12/2022 18:04,05/12/2022 18:04,IP Address,95.145.222.148,100,18,TRUE,05/12/2022 18:04,R_1NameYiqO6e1PEv,,,,,51.6706,-1.2794,anonymous,EN,5f57be602095072bb238a7ab,High School
05/12/2022 11:57,05/12/2022 11:59,IP Address,82.29.212.50,100,107,TRUE,05/12/2022 11:59,R_cXQFwt8l6DzTlvj,,,,,53.4344,-2.2664,anonymous,EN,5fb25a7e5960a87fb627c12b,Completed university
05/12/2022 14:50,05/12/2022 14:51,IP Address,82.43.104.240,100,36,TRUE,05/12/2022 14:51,R_24wm2yJ07Rsu5qB,,,,,52.3962,-1.9334,anonymous,EN,5ffb2c0b07b89b53f4ac3a39,PhD or equivalent
05/12/2022 13:12,05/12/2022 13:13,IP Address,81.144.207.250,100,40,TRUE,05/12/2022 13:13,R_1MMWq1Bp3xnqs9n,,,,,53.706,-1.6997,anonymous,EN,6042925cadd21e1af02addd0,Diploma / other professional certificate
05/12/2022 13:31,05/12/2022 13:32,IP Address,51.148.65.82,100,74,TRUE,05/12/2022 13:32,R_2zNmGsNZNExa4OR,,,,,55.3179,-1.7484,anonymous,EN,604a4755d62e5590404b5426,High School
05/12/2022 12:30,05/12/2022 12:30,IP Address,92.40.170.188,100,44,TRUE,05/12/2022 12:30,R_1r6X863Z0D3ydtg,,,,,51.4412,-0.1833,anonymous,EN,609bea211aa125abbb0c65e1,PhD or equivalent
05/12/2022 11:47,05/12/2022 11:47,IP Address,92.40.191.219,100,44,TRUE,05/12/2022 11:47,R_agwfCn2XmssSF9v,,,,,52.9044,-1.2326,anonymous,EN,60b3950b9a1de417d37bb8d2,Diploma / other professional certificate
05/12/2022 11:50,05/12/2022 11:51,IP Address,209.93.180.126,100,66,TRUE,05/12/2022 11:51,R_30bO1x9v2dMjQbq,,,,,50.8841,0.2793,anonymous,EN,60fff225fb2da6129caf029a,Completed university
05/12/2022 14:31,05/12/2022 14:32,IP Address,86.170.227.178,100,49,TRUE,05/12/2022 14:32,R_12aHcPMqdiRpc8V,,,,,52.6814,0.8837,anonymous,EN,61112576c81c42b0409bd52a,Completed university
06/12/2022 07:39,06/12/2022 07:39,IP Address,5.67.185.41,100,29,TRUE,06/12/2022 07:39,R_3CScyJ7ErH9LqM1,,,,,54.8334,-1.6268,anonymous,EN,61fa9085d42cb19beec4915d,High School
05/12/2022 19:42,05/12/2022 19:44,IP Address,149.241.51.183,100,98,TRUE,05/12/2022 19:44,R_BDJ4DPTRX04HDEd,,,,,52.4817,-1.7863,anonymous,EN,6266ac01a2a15cce6ed5fba7,Diploma / other professional certificate
05/12/2022 13:56,05/12/2022 13:57,IP Address,5.68.197.86,100,33,TRUE,05/12/2022 13:57,R_23e2K9uYQvlNhlz,,,,,51.8874,0.9185,anonymous,EN,6266b7c4afe8a0ff03ca1f53,Masters degree
05/12/2022 12:00,05/12/2022 12:01,IP Address,94.0.50.65,100,23,TRUE,05/12/2022 12:01,R_2rpFydVXOeN2NWr,,,,,52.5778,-2.0961,anonymous,EN,6275abead4ed5c70eb5e5649,Completed university
07/12/2022 23:31,07/12/2022 23:31,IP Address,86.153.89.60,100,35,TRUE,07/12/2022 23:31,R_2WGR2zaPeCOuafi,,,,,51.8951,-1.1585,anonymous,EN,62850a124de32f71f54a8aec,Diploma / other professional certificate
05/12/2022 16:19,05/12/2022 16:19,IP Address,46.69.229.235,100,31,TRUE,05/12/2022 16:19,R_b2YZzTqiP89sI5H,,,,,51.813,0.6415,anonymous,EN,629b3553f9621f7c65de7f5a,High School
05/12/2022 12:23,05/12/2022 12:23,IP Address,82.5.92.72,100,34,TRUE,05/12/2022 12:23,R_b9jsaEmOv0IzA2d,,,,,51.4647,-0.0509,anonymous,EN,629e10d748005830b9eee9a0,Masters degree
05/12/2022 12:03,05/12/2022 12:04,IP Address,94.197.185.199,100,31,TRUE,05/12/2022 12:04,R_RIVAyTcjbINicp3,,,,,54.5396,-5.975,anonymous,EN,62e6e63a69e587fdd6789373,Diploma / other professional certificate
05/12/2022 12:16,05/12/2022 12:16,IP Address,84.65.160.233,100,36,TRUE,05/12/2022 12:16,R_9XCMBOJEfCBagOB,,,,,53.4467,-2.1838,anonymous,EN,6303809730ba6f53288a4f85,Completed university
05/12/2022 12:00,05/12/2022 12:01,IP Address,146.90.105.200,100,31,TRUE,05/12/2022 12:01,R_2whIoYiiiJI9mqD,,,,,51.5978,0.3371,anonymous,EN,6317691462a2f2900d1856a8,Masters degree
05/12/2022 12:14,05/12/2022 12:15,IP Address,90.253.41.239,100,12,TRUE,05/12/2022 12:15,R_3EijUu4glI4UdfB,,,,,53.6515,-1.8196,anonymous,EN,6328ae7d5a25f6856525135b,Masters degree
05/12/2022 11:44,05/12/2022 11:45,IP Address,85.255.232.207,100,42,TRUE,05/12/2022 11:45,R_2ASS6vKSgDJrbL9,,,,,51.4964,-0.1224,anonymous,EN,63468bca8b362157c0a33cfd,Masters degree
05/12/2022 11:46,05/12/2022 11:46,Spam,85.255.232.207,100,18,TRUE,05/12/2022 11:46,R_TjySkalWlEflo2t,,,,,51.4964,-0.1224,anonymous,EN,63468bca8b362157c0a33cfd,Masters degree
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,,What is your highest level of education?