StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1,Q2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"So that we can match your responses here to the previous responses you gave,  enter your Prolific Participant ID here:","Please rate the extent to which you agree with the following statement:

It is likely that God, or some other type of spiritual non-human entity, controls the events in the world",How religious are you?
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211044321_TEXT""}","{""ImportId"":""QID1211095086""}","{""ImportId"":""QID1211095087""}"
2022-12-05 11:42:02,2022-12-05 11:42:34,IP Address,2.26.219.3,100,32,True,2022-12-05 11:42:35,R_1jW0sdDUoTl6994,,,,,54.8161,-1.3695,anonymous,EN,5697bfa17183b8000d0fbcbf,Strongly disagree,2
2022-12-05 11:41:57,2022-12-05 11:43:29,IP Address,31.111.10.1,100,91,True,2022-12-05 11:43:29,R_s4Ji6EnjVfktZKN,,,,,53.7099,-2.1095,anonymous,EN,629ee9680199e14b1bfafaf3,Somewhat disagree,3
2022-12-05 11:43:29,2022-12-05 11:44:11,IP Address,86.158.103.195,100,41,True,2022-12-05 11:44:11,R_232CFdGIS7YgdQR,,,,,56.0186,-3.6165,anonymous,EN," 62b626b7cc2365d4e7f5c5aa",Strongly disagree,1 - Not at all religious
2022-12-05 11:45:28,2022-12-05 11:45:55,IP Address,90.217.176.40,100,26,True,2022-12-05 11:45:55,R_3kb4fHsxBEAB1gs,,,,,52.5062,-1.9425,anonymous,EN,5eadaff848b26f4483ae62d9,Strongly disagree,1 - Not at all religious
2022-12-05 11:49:00,2022-12-05 11:50:06,IP Address,86.24.57.183,100,65,True,2022-12-05 11:50:06,R_1n7rfKeVK4N0R2h,,,,,53.2145,-0.5711,anonymous,EN,63468b1061ea9fad9573cee9,Somewhat disagree,2
2022-12-05 11:50:00,2022-12-05 11:50:23,IP Address,84.69.251.157,100,22,True,2022-12-05 11:50:24,R_1MRKVY1f3K7qCPF,,,,,54.8454,-1.882,anonymous,EN,62b8b2be4c2b1d481f4f68c0,Strongly disagree,2
2022-12-05 11:57:37,2022-12-05 11:58:02,IP Address,80.5.194.252,100,25,True,2022-12-05 11:58:02,R_1jm4MLGjDfzOe6I,,,,,51.07,-1.7979,anonymous,EN,6349c2dd13c733ec1c9c2896,Neutral,2
2022-12-05 11:56:02,2022-12-05 11:59:27,IP Address,109.149.183.38,100,205,True,2022-12-05 11:59:27,R_eJ1pAYGbpYuDuBH,,,,,52.0435,1.1842,anonymous,EN,60886f033e4f5c214da0c898,Somewhat agree,4
2022-12-05 12:00:54,2022-12-05 12:01:24,IP Address,81.136.124.63,100,30,True,2022-12-05 12:01:24,R_2X7LqF1hkc6N8NY,,,,,53.5549,-2.0681,anonymous,EN,5697bfa17183b8000d0fbcbf,Strongly disagree,1 - Not at all religious
2022-12-05 12:02:07,2022-12-05 12:02:44,IP Address,86.131.79.243,100,37,True,2022-12-05 12:02:44,R_1IKNvKM4JPkn4tg,,,,,53.8821,-2.3437,anonymous,EN,5e4db49d96e3c32079f64790,Strongly disagree,1 - Not at all religious
2022-12-05 12:07:51,2022-12-05 12:09:04,IP Address,79.79.132.79,100,73,True,2022-12-05 12:09:05,R_dgVfmVnOJVbr2Df,,,,,55.0546,-1.6462,anonymous,EN,61113ad836a1f1b60f4c9389,Somewhat disagree,3
2022-12-05 12:09:46,2022-12-05 12:10:20,IP Address,82.132.238.3,100,34,True,2022-12-05 12:10:21,R_32XF9qtocvGxI4C,,,,,53.4084,-2.8379,anonymous,EN,5e4338aa9293781d471ed10d,Neutral,1 - Not at all religious
2022-12-05 12:12:26,2022-12-05 12:13:06,IP Address,5.71.98.34,100,39,True,2022-12-05 12:13:06,R_28Tzj7YWnTZyuLc,,,,,55.0168,-1.451,anonymous,EN,5d8b66f5d189bd001a378273,Strongly disagree,1 - Not at all religious
2022-12-05 12:11:43,2022-12-05 12:13:12,IP Address,82.4.11.202,100,88,True,2022-12-05 12:13:12,R_30hEjbB36rmj8Sb,,,,,51.9045,-0.1984,anonymous,EN,"60f09a6d53cae34a8ac00838 ",Strongly disagree,1 - Not at all religious
2022-12-05 12:15:14,2022-12-05 12:15:58,IP Address,80.43.29.71,100,43,True,2022-12-05 12:15:58,R_3g7VgL0xYvYK7Dg,,,,,53.2893,-3.4675,anonymous,EN,60f34fcae3c49524b0903a5d,Strongly disagree,1 - Not at all religious
2022-12-05 12:20:21,2022-12-05 12:21:35,IP Address,82.132.214.171,100,73,True,2022-12-05 12:21:35,R_3qCOvxRwCT4hfw8,,,,,51.5032,-0.204,anonymous,EN,6135088f9e2f428d1f8a26e0,Strongly agree,4
2022-12-05 12:20:41,2022-12-05 12:24:04,IP Address,82.40.64.129,100,203,True,2022-12-05 12:24:05,R_1LpPGQoODV8IyuY,,,,,52.5062,-1.9425,anonymous,EN,62fba12c75e566b234b6e5fe,Somewhat disagree,1 - Not at all religious
2022-12-05 12:25:32,2022-12-05 12:26:14,IP Address,82.40.87.140,100,42,True,2022-12-05 12:26:15,R_3EtJ5izcsIzXj1r,,,,,52.5451,-1.881,anonymous,EN,5eca536f9aa4f658d641a7d9,Strongly disagree,5 - Very religious
2022-12-05 12:25:22,2022-12-05 12:26:41,IP Address,81.133.39.150,100,79,True,2022-12-05 12:26:41,R_1Cf24n1xGpsaz4t,,,,,51.5638,-0.0765,anonymous,EN,5bb62f1a3e969700019bd44d,Somewhat disagree,2
2022-12-05 12:29:51,2022-12-05 12:30:32,IP Address,87.115.86.106,100,41,True,2022-12-05 12:30:33,R_0Cz0deCrUOTnQvT,,,,,51.5909,-1.3772,anonymous,EN,57c426fa9fe51d00012391f1,Strongly disagree,3
2022-12-05 12:36:35,2022-12-05 12:37:35,IP Address,37.203.160.80,100,60,True,2022-12-05 12:37:36,R_1GNNW57O5VgyZl0,,,,,52.4425,-1.9442,anonymous,EN,636540f16a0ba04d5bf4644e,Strongly agree,5 - Very religious
2022-12-05 12:44:29,2022-12-05 12:45:34,IP Address,86.148.196.229,100,65,True,2022-12-05 12:45:34,R_3QKxIS75jxparxn,,,,,54.8706,-2.946,anonymous,EN,5a5f945176d1c60001ab7e30,Strongly disagree,1 - Not at all religious
2022-12-05 12:44:04,2022-12-05 12:45:57,IP Address,31.94.28.40,100,112,True,2022-12-05 12:45:57,R_2uKXku0XruWJa49,,,,,51.5095,-0.0955,anonymous,EN,5fc74b5900f0a5079e03dbae,Strongly disagree,1 - Not at all religious
2022-12-05 12:58:09,2022-12-05 13:00:25,IP Address,79.69.65.124,100,136,True,2022-12-05 13:00:26,R_0xFXoUPWFsMgJDr,,,,,51.8966,-0.3204,anonymous,EN,622e282986d38f7f8fb74e93,Neutral,4
2022-12-05 13:00:11,2022-12-05 13:02:42,IP Address,82.5.180.51,100,151,True,2022-12-05 13:02:43,R_3nko20rhpSQi0LO,,,,,51.4566,-0.968,anonymous,EN,5f4102e52cd459256b5014a9,Strongly disagree,1 - Not at all religious
2022-12-05 13:02:06,2022-12-05 13:02:49,IP Address,86.9.192.4,100,43,True,2022-12-05 13:02:49,R_2VO2p3Phy4Y6FFK,,,,,52.5852,-0.236,anonymous,EN," 5d7a1fce27fb8a000196993e",Strongly disagree,1 - Not at all religious
2022-12-05 13:00:54,2022-12-05 13:02:49,IP Address,188.213.136.138,100,114,True,2022-12-05 13:02:50,R_3CDBquBcvmNblz8,,,,,51.5064,-0.02,anonymous,EN,601c6342141cd277e220c083,Slightly disagree,2
2022-12-05 13:03:41,2022-12-05 13:05:41,IP Address,147.161.236.254,100,120,True,2022-12-05 13:05:42,R_z85YaupX3Lr4khz,,,,,53.5039,-2.1959,anonymous,EN,614836769bbbb91e05768165,Strongly disagree,1 - Not at all religious
2022-12-05 13:25:20,2022-12-05 13:26:10,IP Address,80.189.2.117,100,49,True,2022-12-05 13:26:10,R_25RYIYMDBD6zqfq,,,,,54.4408,-0.8769,anonymous,EN,5987030cfd8cca00015cbc26,Slightly agree,2
2022-12-05 13:30:16,2022-12-05 13:31:02,IP Address,2.217.197.79,100,45,True,2022-12-05 13:31:02,R_3htnN5HJncb76FT,,,,,50.4163,-5.0768,anonymous,EN,616d5c54f2953f6447f27402,Strongly disagree,1 - Not at all religious
2022-12-05 13:51:34,2022-12-05 13:52:19,IP Address,146.198.20.45,100,45,True,2022-12-05 13:52:20,R_vjKtR0olidMKhCp,,,,,51.5752,0.1875,anonymous,EN,5cd310705882710018e544b0,Strongly disagree,1 - Not at all religious
2022-12-05 14:08:01,2022-12-05 14:08:40,IP Address,165.225.196.209,100,39,True,2022-12-05 14:08:41,R_2aG2rdBnxwbdZwJ,,,,,53.4734,-2.3142,anonymous,EN,5d98f7f0b8040b036861464f,Strongly disagree,1 - Not at all religious
2022-12-05 14:42:01,2022-12-05 14:42:32,IP Address,81.99.73.70,100,30,True,2022-12-05 14:42:32,R_BJNdn05JxrbmY93,,,,,52.5852,-0.236,anonymous,EN," 62a1d848cc2237ff6738870f",Somewhat disagree,2
2022-12-05 15:25:06,2022-12-05 15:26:21,IP Address,92.30.199.102,100,74,True,2022-12-05 15:26:21,R_1FEQqpZUk6zgWr3,,,,,51.6421,-3.138,anonymous,EN,58f4a7947b2e410001c2edde,Neutral,3
2022-12-05 15:29:45,2022-12-05 15:30:11,IP Address,82.2.239.85,100,25,True,2022-12-05 15:30:11,R_1Qh0wm92evuNOq6,,,,,55.9335,-3.254,anonymous,EN,62b43755f6be0c82be3cb760,Strongly disagree,1 - Not at all religious
2022-12-05 15:45:10,2022-12-05 15:46:24,IP Address,5.64.105.134,100,73,True,2022-12-05 15:46:25,R_2PvSwPlUPq7PVFq,,,,,52.6261,1.3034,anonymous,EN,59724cec2a5a780001dda979,Slightly agree,4
2022-12-05 16:51:41,2022-12-05 16:52:20,IP Address,213.31.116.182,100,38,True,2022-12-05 16:52:20,R_2fk9WGsvxMfgFAz,,,,,52.831,-0.8469,anonymous,EN,6266a4e5846e1e41812a0432,Slightly disagree,2
2022-12-05 18:45:55,2022-12-05 18:46:34,IP Address,92.41.162.37,100,38,True,2022-12-05 18:46:34,R_2tumReTGsjAB5xU,,,,,50.8007,-1.0806,anonymous,EN,5a3c0b842f91ec0001dc9bb4,Somewhat disagree,1 - Not at all religious
2022-12-05 21:14:25,2022-12-05 21:15:31,IP Address,5.198.58.77,100,65,True,2022-12-05 21:15:31,R_TcI7f92tXCnO8sV,,,,,53.7606,-0.3734,anonymous,EN,5c730ca1f674750001df8d09,Strongly disagree,1 - Not at all religious
2022-12-06 09:25:52,2022-12-06 09:26:27,IP Address,84.69.159.25,100,34,True,2022-12-06 09:26:27,R_2fDUBtXZVFnGMXe,,,,,55.8486,-4.2216,anonymous,EN,5c921106b788a2000170709f,Strongly disagree,1 - Not at all religious
2022-12-06 10:09:47,2022-12-06 10:11:19,IP Address,82.108.42.220,100,92,True,2022-12-06 10:11:19,R_1j6xupzUC5f7cXh,,,,,51.4964,-0.1224,anonymous,EN,5a38d56e50833c0001eeacf3,Strongly disagree,1 - Not at all religious
2022-12-06 10:53:20,2022-12-06 10:53:55,IP Address,51.7.200.9,100,34,True,2022-12-06 10:53:56,R_1diOfEYu0raWr5F,,,,,51.4703,-3.2811,anonymous,EN,5f44ed0e7f545e029071c4e8,Strongly disagree,1 - Not at all religious
2022-12-06 14:05:46,2022-12-06 14:06:28,IP Address,81.107.159.25,100,42,True,2022-12-06 14:06:28,R_3fBEDahukkNhMCT,,,,,55.805,-4.2899,anonymous,EN,59e675a6c0d35a00012951ce,Strongly disagree,1 - Not at all religious
2022-12-09 08:27:51,2022-12-09 08:28:37,IP Address,213.205.209.234,100,46,True,2022-12-09 08:28:38,R_vCPZhOUmMDjUMOl,,,,,51.621,-0.051,anonymous,EN,60199acd9c5c620fe23856ba,Strongly disagree,1 - Not at all religious
