StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_1,Q2_1,Q3_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"So that we can match your responses here to the previous responses you gave,  enter your Prolific Participant ID here: 

 




 

If we do not have your correct Prolific ID we will not be able to pay you.","Think of the ladder below as representing where people stand in your country.
At the top of the ladder are the people who are the best off - those who have the most money, the most education and the most respected jobs. At the bottom are the people who are the worst off - those who have the least money, the least education and the least respected jobs, or no job. The higher up you are on this ladder, the closer you are to the people at the very top; the lower you are on this ladder, the closer you are to the people at the very bottom.



Where would you place yourself on this ladder? - Please indicate which number  on the rung best represents where you stand at this time in your life, relative to other people in your country.",To what extent do you agree with the following statement? - I would like to bring the people above me on the ladder down a peg or two,To what extent do you agree with the following statement? - I would like to bring the people below me on the ladder up a peg or two
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211044321_TEXT""}","{""ImportId"":""QID1211095049_1""}","{""ImportId"":""QID1211095050_4""}","{""ImportId"":""QID1211095051_1""}"
2022-12-05 11:34:51,2022-12-05 11:35:31,IP Address,81.187.86.76,100,39,True,2022-12-05 11:35:31,R_2YDlNfovbmdPJYC,,,,,52.6407,-1.1354,anonymous,EN,5ece8a3c088813259ffc1e0f,6,5,3
2022-12-05 11:35:09,2022-12-05 11:35:44,IP Address,82.35.37.242,100,34,True,2022-12-05 11:35:44,R_0VrZf40E1OGBJq9,,,,,53.4595,-2.9538,anonymous,EN,5d6fd7cf855c8c0018fbaa30,3,Strongly disagree (1),Strongly agree (7)
2022-12-05 11:35:10,2022-12-05 11:35:49,IP Address,94.8.182.238,100,38,True,2022-12-05 11:35:50,R_32XTYTQUMHm3PYN,,,,,51.7219,0.4811,anonymous,EN,61333ed3b980f519ee86c45c,8,2,Strongly agree (7)
2022-12-05 11:35:23,2022-12-05 11:35:51,IP Address,92.236.234.113,100,28,True,2022-12-05 11:35:52,R_2xCPboEm2453nei,,,,,52.3986,-1.9824,anonymous,EN,5999d56f05a0e30001f1ffc3,5,5,5
2022-12-05 11:35:09,2022-12-05 11:36:05,IP Address,150.143.50.251,100,56,True,2022-12-05 11:36:07,R_125U73dvP3OhXvA,,,,,51.4964,-0.1224,anonymous,EN,59a58d06814c2600018ccadc,2,6,4
2022-12-05 11:35:48,2022-12-05 11:36:40,IP Address,82.24.36.66,100,51,True,2022-12-05 11:36:40,R_21pIwmn7GnG42bj,,,,,55.8803,-4.3055,anonymous,EN,5b3a03a71d4b680001694793,6,3,5
2022-12-05 11:35:10,2022-12-05 11:36:45,IP Address,5.68.204.43,100,94,True,2022-12-05 11:36:45,R_9nOadjaDuFbOUeZ,,,,,51.5747,-1.7823,anonymous,EN,62f0f033178f89dd6f416590,5,4,4
2022-12-05 11:36:25,2022-12-05 11:36:51,IP Address,88.98.89.252,100,26,True,2022-12-05 11:36:52,R_eL4cevwagTYM3tf,,,,,51.4673,0.0066,anonymous,EN,6102bbdba4dd279363094fca,4,4,6
2022-12-05 11:36:17,2022-12-05 11:37:05,IP Address,78.150.169.45,100,47,True,2022-12-05 11:37:05,R_3q7PseAWSRpPnRN,,,,,53.2402,-2.9088,anonymous,EN,568e997ce3ef9e000ca204d4,5,Strongly disagree (1),Strongly agree (7)
2022-12-05 11:36:35,2022-12-05 11:37:07,IP Address,92.24.52.86,100,31,True,2022-12-05 11:37:08,R_2QYBQMBadkVQQQY,,,,,57.1453,-2.0945,anonymous,EN,5dc486da84799a35fbede98d,1,Strongly agree (7),Strongly agree (7)
2022-12-05 11:36:24,2022-12-05 11:37:08,IP Address,130.246.150.200,100,43,True,2022-12-05 11:37:08,R_3kIgrsyrUIvsdxq,,,,,51.6706,-1.2794,anonymous,EN,5fcead109898cb1466641f65,4,6,6
2022-12-05 11:36:36,2022-12-05 11:37:16,IP Address,84.65.100.171,100,40,True,2022-12-05 11:37:16,R_2vcgFC6Zi4AEcV8,,,,,51.5128,-0.0638,anonymous,EN,60b3daed9cafd5926a44f4d6,4,5,Strongly agree (7)
2022-12-05 11:36:33,2022-12-05 11:37:21,IP Address,92.40.212.3,100,48,True,2022-12-05 11:37:22,R_25RUlQX8lJgaDLn,,,,,51.4566,-0.968,anonymous,EN,61716052a11968c4644776b7,4,5,5
2022-12-05 11:36:52,2022-12-05 11:37:24,IP Address,159.86.186.99,100,31,True,2022-12-05 11:37:24,R_2rSHUAqiXe9Twzn,,,,,52.9976,-2.9161,anonymous,EN,5eef2245f9461b073e20f386,7,4,4
2022-12-05 11:38:02,2022-12-05 11:38:36,IP Address,90.214.228.225,100,33,True,2022-12-05 11:38:36,R_1jHqSUSyvXcch1X,,,,,53.6055,-3.0316,anonymous,EN,630382e1437566a48f78a56f,3,3,Strongly agree (7)
2022-12-05 11:41:56,2022-12-05 11:42:39,IP Address,90.248.194.122,100,43,True,2022-12-05 11:42:39,R_SOXEDLuRDoQ7qV3,,,,,51.49,-0.6557,anonymous,EN,6315fe25e70567e43c4febdb,4,2,4
2022-12-05 11:42:40,2022-12-05 11:43:13,IP Address,82.69.136.190,100,32,True,2022-12-05 11:43:13,R_1j7mzHBWhhS5Kmy,,,,,52.2775,1.1922,anonymous,EN,634688e5fa2b2ff0a83c7a17,6,6,Strongly agree (7)
2022-12-05 11:43:44,2022-12-05 11:44:15,IP Address,81.77.4.233,100,30,True,2022-12-05 11:44:15,R_2dira4rWPWWvIlb,,,,,53.7881,-1.6008,anonymous,EN,60b3d51e5faeb57cea9ecda6,6,Strongly agree (7),Strongly disagree (1)
2022-12-05 11:43:54,2022-12-05 11:44:37,IP Address,92.40.219.172,100,43,True,2022-12-05 11:44:37,R_2WIooQVIm4JpMKK,,,,,51.5888,-0.0247,anonymous,EN,57fde8979c39b3000179e347,3,5,Strongly agree (7)
2022-12-05 11:44:41,2022-12-05 11:45:24,IP Address,109.159.201.211,100,42,True,2022-12-05 11:45:25,R_3jxYkKXQlRiOH6N,,,,,51.542,-0.2409,anonymous,EN,634d722ed315c4c88a998f9c,7,5,4
2022-12-05 11:45:24,2022-12-05 11:45:59,IP Address,86.172.208.16,100,34,True,2022-12-05 11:45:59,R_3qKkSGrU56l1RLc,,,,,53.4477,-1.2045,anonymous,EN,5a565678f6c517000194c32f,6,Strongly agree (7),Strongly agree (7)
2022-12-05 11:45:49,2022-12-05 11:46:27,IP Address,87.75.20.19,100,38,True,2022-12-05 11:46:28,R_ernjDZUNMFhLvFv,,,,,51.49,-0.6557,anonymous,EN,5c2f6d25e38ccd0001caab19,4,4,6
2022-12-05 11:46:43,2022-12-05 11:47:30,IP Address,145.40.138.240,100,46,True,2022-12-05 11:47:30,R_0UkXjqYNlcsdwid,,,,,50.9169,-1.422,anonymous,EN,5f58ad1de350f30278169535,7,4,6
2022-12-05 11:48:18,2022-12-05 11:49:05,IP Address,176.253.0.30,100,46,True,2022-12-05 11:49:05,R_T5Wm82qi9ffAvo5,,,,,52.6075,0.0627,anonymous,EN,5c87790e4b0de20001352297,8,3,6
2022-12-05 11:50:54,2022-12-05 11:51:59,IP Address,151.229.253.56,100,64,True,2022-12-05 11:51:59,R_3hyBhf73ZXqJqFs,,,,,54.9531,-1.4563,anonymous,EN,55885582fdf99b4021921fbd,7,Strongly disagree (1),4
2022-12-05 11:54:19,2022-12-05 11:54:54,IP Address,5.67.82.24,100,35,True,2022-12-05 11:54:54,R_3qmrSBgxg6gVQAm,,,,,51.3295,0.578,anonymous,EN,630be3605287a0f49b87c709,6,5,5
2022-12-05 11:55:01,2022-12-05 11:55:31,IP Address,194.82.131.108,100,29,True,2022-12-05 11:55:32,R_1OZXc2955eSL7tg,,,,,51.2144,-0.7936,anonymous,EN,627e6f656a57cb79c6733243,5,Strongly disagree (1),Strongly disagree (1)
2022-12-05 11:56:03,2022-12-05 11:56:30,IP Address,5.67.82.24,100,26,True,2022-12-05 11:56:30,R_2usNHlb1C65QgLt,,,,,51.3295,0.578,anonymous,EN,630be3605287a0f49b87c709,5,6,5
2022-12-05 11:57:30,2022-12-05 11:57:57,IP Address,86.133.60.39,100,27,True,2022-12-05 11:57:58,R_yw2Kfcnp8nWmivD,,,,,50.8388,-0.777,anonymous,EN,59df9b4ebe399f0001e49853,5,2,6
2022-12-05 11:57:43,2022-12-05 11:58:23,IP Address,82.6.142.198,100,39,True,2022-12-05 11:58:23,R_6EFbQdLAJl03ByF,,,,,51.7956,-1.1777,anonymous,EN,6346f314592ee4d8c3d84e57,4,5,Strongly agree (7)
2022-12-05 11:58:06,2022-12-05 11:59:10,IP Address,86.176.230.187,100,64,True,2022-12-05 11:59:10,R_enBpiQG6UE12bCx,,,,,51.5788,-0.1235,anonymous,EN,6025082fc74f8426d411031a,3,2,Strongly agree (7)
2022-12-05 11:59:23,2022-12-05 12:00:37,IP Address,82.14.252.35,100,74,True,2022-12-05 12:00:37,R_3ktFo0DHDqNf4ie,,,,,54.6401,-1.2336,anonymous,EN,6327351e2d98989b8e5d071a,6,5,Strongly agree (7)
2022-12-05 12:01:32,2022-12-05 12:02:19,IP Address,86.180.197.150,100,47,True,2022-12-05 12:02:19,R_71H30mdUIuJKVRD,,,,,53.5956,-1.6642,anonymous,EN,5ea07fc202b8bd05bb59bc38,7,4,5
2022-12-05 12:02:40,2022-12-05 12:03:10,IP Address,85.115.53.201,100,29,True,2022-12-05 12:03:10,R_1f8zghvuKAibHLY,,,,,51.5269,-0.0991,anonymous,EN,5e1ce5942923360769c7af3a,7,3,2
2022-12-05 12:30:24,2022-12-05 12:30:49,IP Address,46.233.83.247,100,24,True,2022-12-05 12:30:49,R_3DirS7BlIbW7a87,,,,,51.5788,-0.1235,anonymous,EN,5efb79846ed89a0e53051c30,6,Strongly disagree (1),5
2022-12-05 12:51:43,2022-12-05 12:52:12,IP Address,80.44.87.195,100,28,True,2022-12-05 12:52:12,R_3edXny1sFJpgPm0,,,,,51.4703,-3.2811,anonymous,EN,5ccf41c9bd0d3e001593ce92,6,Strongly disagree (1),Strongly agree (7)
2022-12-05 13:05:52,2022-12-05 13:06:29,IP Address,90.206.73.59,100,37,True,2022-12-05 13:06:30,R_1OPmihjZbBtPKPf,,,,,50.9169,-1.422,anonymous,EN,6346e117e4e283094ff51b84,6,Strongly disagree (1),Strongly disagree (1)
2022-12-05 13:18:40,2022-12-05 13:19:22,IP Address,2.222.31.43,100,41,True,2022-12-05 13:19:22,R_2zd3GKPwHaguDJW,,,,,52.1951,-1.1321,anonymous,EN,5e7fa0e918b10804bb87eb63,6,4,4
2022-12-05 13:19:04,2022-12-05 13:19:44,IP Address,147.161.237.88,100,40,True,2022-12-05 13:19:44,R_TpAlAmUyIQ6JG1z,,,,,53.5039,-2.1959,anonymous,EN,5c5a093738e69b0001dd9343,6,2,4
2022-12-05 14:25:33,2022-12-05 14:26:35,IP Address,86.132.74.233,100,62,True,2022-12-05 14:26:36,R_3iUKHaAwL5jNPfm,,,,,53.1114,-1.6531,anonymous,EN,5a81a9fb0f1bce00012201ef,6,4,6
2022-12-05 15:35:07,2022-12-05 15:35:39,IP Address,80.2.254.131,100,32,True,2022-12-05 15:35:40,R_25QuIs6lwCrihWZ,,,,,53.5635,-2.2239,anonymous,EN,604d5e61486bd0622d2102c0,6,Strongly disagree (1),6
2022-12-05 15:39:37,2022-12-05 15:40:23,IP Address,92.17.1.69,100,46,True,2022-12-05 15:40:23,R_1CDQ8pJMFt262Zn,,,,,53.7999,-1.5125,anonymous,EN,5f4fbebb8bb76c0c01881651,6,Strongly disagree (1),4
2022-12-05 16:26:14,2022-12-05 16:26:59,IP Address,81.101.42.53,100,45,True,2022-12-05 16:27:00,R_33Dp0suzvS3Xz8x,,,,,53.7981,-1.7623,anonymous,EN,5c5dadc66467ac0001b7fa53,6,3,5
2022-12-05 18:23:45,2022-12-05 18:24:31,IP Address,86.145.213.192,100,45,True,2022-12-05 18:24:31,R_1ONqqimLZi1NU8p,,,,,53.3297,0.053,anonymous,EN,5e9c4d6f80400c000ae44d9f,4,2,3
2022-12-05 19:09:07,2022-12-05 19:09:49,IP Address,31.94.1.222,100,42,True,2022-12-05 19:09:50,R_PMxvxhucPsy0G1X,,,,,51.5095,-0.0955,anonymous,EN,5b257364a7cee100011d8831,3,Strongly disagree (1),Strongly agree (7)
2022-12-05 19:52:18,2022-12-05 19:53:33,IP Address,82.29.63.171,100,74,True,2022-12-05 19:53:33,R_3p3erHQn0Lqg0Vx,,,,,51.9367,-0.51,anonymous,EN,5dbc7bb351b13c22d8df0fe8,7,Strongly disagree (1),6
2022-12-06 07:13:49,2022-12-06 07:14:16,IP Address,86.174.104.52,100,27,True,2022-12-06 07:14:17,R_Ycv1yjEaVYO7NBv,,,,,52.579,-1.8295,anonymous,EN,630557ad06f25e00baceed9b,6,5,5
2022-12-06 07:14:37,2022-12-06 07:14:54,Spam,86.174.104.52,100,17,True,2022-12-06 07:14:54,R_ThIftedQQFh3Qsh,,,,,52.579,-1.8295,anonymous,EN,630557ad06f25e00baceed9b,6,5,5
2022-12-06 19:21:39,2022-12-06 19:22:32,IP Address,86.153.75.66,100,53,True,2022-12-06 19:22:33,R_cT0r8QsGCnV17dn,,,,,51.5733,-0.3964,anonymous,EN,5ea9a45308251a0bef40b8c3,7,Strongly disagree (1),5
2022-12-07 19:05:56,2022-12-07 19:06:27,IP Address,95.144.135.192,100,30,True,2022-12-07 19:06:27,R_2QDqmNHQNuPwJ1u,,,,,52.6834,-1.928,anonymous,EN,5c014b9ef70a16000191765c,5,4,4
